type,sessions,total_load,moving_hours,distance_km,avg_hr
Run,544,21205.0,238.2602777777778,1293.92017923,124.18129770992367
Workout,905,7382.0,127.33111111111111,1.43319,83.05875831485588
Walk,980,5416.0,182.17111111111112,795.54123216,92.36373165618448
Yoga,534,2768.0,109.24277777777777,0.08137,77.46816479400749
WeightTraining,104,1833.0,25.531111111111112,0.0,100.41346153846153
Other,48,1105.0,21.576388888888893,14.37682,96.15555555555555
Pilates,45,571.0,13.113888888888887,0.0,89.14634146341463
VirtualRun,14,220.0,2.591111111111111,13.63607,107.3076923076923
Crossfit,14,72.0,10.852777777777778,0.0,96.18181818181819
Swim,22,70.0,1.2477777777777779,4.348333324,97.31818181818181
OpenWaterSwim,15,46.0,0.5194444444444445,2.21307,114.33333333333333
Ride,5,15.0,1.561388888888889,22.23,98.4
Transition,2,4.0,0.1461111111111111,0.0,80.5
