anchor_timestamp,beat_timestamp,rr_s,rr_ms,source
2026-03-29 04:21:46+00:00,2026-03-29 04:21:46+00:00,0.848,848.0,record.hrv_btb
2026-03-29 04:21:47+00:00,2026-03-29 04:21:47+00:00,0.866,866.0,record.hrv_btb
2026-03-29 04:21:48+00:00,2026-03-29 04:21:48+00:00,0.88,880.0,record.hrv_btb
2026-03-29 04:21:49+00:00,2026-03-29 04:21:49+00:00,0.896,896.0,record.hrv_btb
2026-03-29 04:21:50+00:00,2026-03-29 04:21:50+00:00,0.914,914.0,record.hrv_btb
2026-03-29 04:21:51+00:00,2026-03-29 04:21:51+00:00,0.93,930.0,record.hrv_btb
2026-03-29 04:21:52+00:00,2026-03-29 04:21:52+00:00,0.937,937.0,record.hrv_btb
2026-03-29 04:21:53+00:00,2026-03-29 04:21:53+00:00,0.962,962.0,record.hrv_btb
2026-03-29 04:21:54+00:00,2026-03-29 04:21:54+00:00,0.95,950.0,record.hrv_btb
2026-03-29 04:21:55+00:00,2026-03-29 04:21:55+00:00,0.913,913.0,record.hrv_btb
2026-03-29 04:21:56+00:00,2026-03-29 04:21:56+00:00,0.919,919.0,record.hrv_btb
2026-03-29 04:21:57+00:00,2026-03-29 04:21:57+00:00,0.976,976.0,record.hrv_btb
2026-03-29 04:21:58+00:00,2026-03-29 04:21:58+00:00,0.898,898.0,record.hrv_btb
2026-03-29 04:21:59+00:00,2026-03-29 04:21:59+00:00,0.883,883.0,record.hrv_btb
2026-03-29 04:22:00+00:00,2026-03-29 04:22:00+00:00,0.903,903.0,record.hrv_btb
2026-03-29 04:22:01+00:00,2026-03-29 04:22:01+00:00,0.911,911.0,record.hrv_btb
2026-03-29 04:22:02+00:00,2026-03-29 04:22:02+00:00,0.916,916.0,record.hrv_btb
2026-03-29 04:22:03+00:00,2026-03-29 04:22:03+00:00,0.851,851.0,record.hrv_btb
2026-03-29 04:22:04+00:00,2026-03-29 04:22:04+00:00,0.916,916.0,record.hrv_btb
2026-03-29 04:22:05+00:00,2026-03-29 04:22:05+00:00,0.954,954.0,record.hrv_btb
2026-03-29 04:22:06+00:00,2026-03-29 04:22:06+00:00,0.958,958.0,record.hrv_btb
2026-03-29 04:22:07+00:00,2026-03-29 04:22:07+00:00,0.932,932.0,record.hrv_btb
2026-03-29 04:22:08+00:00,2026-03-29 04:22:08+00:00,0.932,932.0,record.hrv_btb
2026-03-29 04:22:09+00:00,2026-03-29 04:22:09+00:00,0.923,923.0,record.hrv_btb
2026-03-29 04:22:10+00:00,2026-03-29 04:22:10+00:00,0.933,933.0,record.hrv_btb
2026-03-29 04:22:11+00:00,2026-03-29 04:22:11+00:00,0.955,955.0,record.hrv_btb
2026-03-29 04:22:12+00:00,2026-03-29 04:22:12+00:00,0.932,932.0,record.hrv_btb
2026-03-29 04:22:13+00:00,2026-03-29 04:22:13+00:00,0.902,902.0,record.hrv_btb
2026-03-29 04:22:14+00:00,2026-03-29 04:22:14+00:00,0.877,877.0,record.hrv_btb
2026-03-29 04:22:15+00:00,2026-03-29 04:22:15+00:00,0.859,859.0,record.hrv_btb
2026-03-29 04:22:16+00:00,2026-03-29 04:22:16+00:00,0.692,692.0,record.hrv_btb
2026-03-29 04:22:17+00:00,2026-03-29 04:22:17+00:00,0.795,795.0,record.hrv_btb
2026-03-29 04:22:18+00:00,2026-03-29 04:22:18+00:00,0.834,834.0,record.hrv_btb
2026-03-29 04:22:19+00:00,2026-03-29 04:22:19+00:00,0.83,830.0,record.hrv_btb
2026-03-29 04:22:20+00:00,2026-03-29 04:22:20+00:00,0.83,830.0,record.hrv_btb
2026-03-29 04:22:21+00:00,2026-03-29 04:22:21+00:00,0.852,852.0,record.hrv_btb
2026-03-29 04:22:22+00:00,2026-03-29 04:22:22+00:00,0.835,835.0,record.hrv_btb
2026-03-29 04:22:23+00:00,2026-03-29 04:22:23+00:00,0.874,874.0,record.hrv_btb
2026-03-29 04:22:24+00:00,2026-03-29 04:22:24+00:00,0.902,902.0,record.hrv_btb
2026-03-29 04:22:25+00:00,2026-03-29 04:22:25+00:00,0.92,920.0,record.hrv_btb
2026-03-29 04:22:26+00:00,2026-03-29 04:22:26+00:00,0.93,930.0,record.hrv_btb
2026-03-29 04:22:27+00:00,2026-03-29 04:22:27+00:00,0.911,911.0,record.hrv_btb
2026-03-29 04:22:28+00:00,2026-03-29 04:22:28+00:00,0.937,937.0,record.hrv_btb
2026-03-29 04:22:29+00:00,2026-03-29 04:22:29+00:00,0.956,956.0,record.hrv_btb
2026-03-29 04:22:30+00:00,2026-03-29 04:22:30+00:00,0.958,958.0,record.hrv_btb
2026-03-29 04:22:31+00:00,2026-03-29 04:22:31+00:00,0.954,954.0,record.hrv_btb
2026-03-29 04:22:32+00:00,2026-03-29 04:22:32+00:00,0.944,944.0,record.hrv_btb
2026-03-29 04:22:33+00:00,2026-03-29 04:22:33+00:00,0.932,932.0,record.hrv_btb
2026-03-29 04:22:34+00:00,2026-03-29 04:22:34+00:00,0.924,924.0,record.hrv_btb
2026-03-29 04:22:35+00:00,2026-03-29 04:22:35+00:00,0.853,853.0,record.hrv_btb
2026-03-29 04:22:36+00:00,2026-03-29 04:22:36+00:00,0.918,918.0,record.hrv_btb
2026-03-29 04:22:37+00:00,2026-03-29 04:22:37+00:00,0.873,873.0,record.hrv_btb
2026-03-29 04:22:38+00:00,2026-03-29 04:22:38+00:00,0.854,854.0,record.hrv_btb
2026-03-29 04:22:39+00:00,2026-03-29 04:22:39+00:00,0.84,840.0,record.hrv_btb
