anchor_timestamp,beat_timestamp,rr_s,rr_ms,source
2026-03-30 05:52:54+00:00,2026-03-30 05:52:54+00:00,0.635,635.0,record.hrv_btb
2026-03-30 05:52:55+00:00,2026-03-30 05:52:55+00:00,0.637,637.0,record.hrv_btb
2026-03-30 05:52:56+00:00,2026-03-30 05:52:56+00:00,0.637,637.0,record.hrv_btb
2026-03-30 05:52:57+00:00,2026-03-30 05:52:57+00:00,0.615,615.0,record.hrv_btb
2026-03-30 05:52:58+00:00,2026-03-30 05:52:58+00:00,0.608,608.0,record.hrv_btb
2026-03-30 05:52:59+00:00,2026-03-30 05:52:59+00:00,0.623,623.0,record.hrv_btb
2026-03-30 05:53:00+00:00,2026-03-30 05:53:00+00:00,0.615,615.0,record.hrv_btb
2026-03-30 05:53:01+00:00,2026-03-30 05:53:01+00:00,0.598,598.0,record.hrv_btb
2026-03-30 05:53:02+00:00,2026-03-30 05:53:02+00:00,0.585,585.0,record.hrv_btb
2026-03-30 05:53:03+00:00,2026-03-30 05:53:03+00:00,0.593,593.0,record.hrv_btb
2026-03-30 05:53:04+00:00,2026-03-30 05:53:04+00:00,0.615,615.0,record.hrv_btb
2026-03-30 05:53:05+00:00,2026-03-30 05:53:05+00:00,0.593,593.0,record.hrv_btb
2026-03-30 05:53:06+00:00,2026-03-30 05:53:06+00:00,0.611,611.0,record.hrv_btb
2026-03-30 05:53:07+00:00,2026-03-30 05:53:07+00:00,0.655,655.0,record.hrv_btb
2026-03-30 05:53:08+00:00,2026-03-30 05:53:08+00:00,0.643,643.0,record.hrv_btb
2026-03-30 05:53:09+00:00,2026-03-30 05:53:09+00:00,0.643,643.0,record.hrv_btb
2026-03-30 05:53:10+00:00,2026-03-30 05:53:10+00:00,0.628,628.0,record.hrv_btb
2026-03-30 05:53:11+00:00,2026-03-30 05:53:11+00:00,0.62,620.0,record.hrv_btb
2026-03-30 05:53:12+00:00,2026-03-30 05:53:12+00:00,0.615,615.0,record.hrv_btb
2026-03-30 05:53:13+00:00,2026-03-30 05:53:13+00:00,0.625,625.0,record.hrv_btb
2026-03-30 05:53:14+00:00,2026-03-30 05:53:14+00:00,0.622,622.0,record.hrv_btb
2026-03-30 05:53:15+00:00,2026-03-30 05:53:15+00:00,0.652,652.0,record.hrv_btb
2026-03-30 05:53:16+00:00,2026-03-30 05:53:16+00:00,0.766,766.0,record.hrv_btb
2026-03-30 05:53:17+00:00,2026-03-30 05:53:17+00:00,0.696,696.0,record.hrv_btb
2026-03-30 05:53:18+00:00,2026-03-30 05:53:18+00:00,0.673,673.0,record.hrv_btb
2026-03-30 05:53:19+00:00,2026-03-30 05:53:19+00:00,0.672,672.0,record.hrv_btb
2026-03-30 05:53:20+00:00,2026-03-30 05:53:20+00:00,0.661,661.0,record.hrv_btb
2026-03-30 05:53:21+00:00,2026-03-30 05:53:21+00:00,0.656,656.0,record.hrv_btb
2026-03-30 05:53:22+00:00,2026-03-30 05:53:22+00:00,0.654,654.0,record.hrv_btb
2026-03-30 05:53:23+00:00,2026-03-30 05:53:23+00:00,0.668,668.0,record.hrv_btb
2026-03-30 05:53:24+00:00,2026-03-30 05:53:24+00:00,0.667,667.0,record.hrv_btb
2026-03-30 05:53:25+00:00,2026-03-30 05:53:25+00:00,0.69,690.0,record.hrv_btb
2026-03-30 05:53:26+00:00,2026-03-30 05:53:26+00:00,0.692,692.0,record.hrv_btb
2026-03-30 05:53:27+00:00,2026-03-30 05:53:27+00:00,0.685,685.0,record.hrv_btb
2026-03-30 05:53:28+00:00,2026-03-30 05:53:28+00:00,0.682,682.0,record.hrv_btb
2026-03-30 05:53:29+00:00,2026-03-30 05:53:29+00:00,0.685,685.0,record.hrv_btb
2026-03-30 05:53:30+00:00,2026-03-30 05:53:30+00:00,0.706,706.0,record.hrv_btb
2026-03-30 05:53:31+00:00,2026-03-30 05:53:31+00:00,0.679,679.0,record.hrv_btb
2026-03-30 05:53:32+00:00,2026-03-30 05:53:32+00:00,0.668,668.0,record.hrv_btb
2026-03-30 05:53:33+00:00,2026-03-30 05:53:33+00:00,0.681,681.0,record.hrv_btb
2026-03-30 05:53:34+00:00,2026-03-30 05:53:34+00:00,0.671,671.0,record.hrv_btb
2026-03-30 05:53:35+00:00,2026-03-30 05:53:35+00:00,0.686,686.0,record.hrv_btb
2026-03-30 05:53:36+00:00,2026-03-30 05:53:36+00:00,0.698,698.0,record.hrv_btb
2026-03-30 05:53:37+00:00,2026-03-30 05:53:37+00:00,0.708,708.0,record.hrv_btb
2026-03-30 05:53:38+00:00,2026-03-30 05:53:38+00:00,0.676,676.0,record.hrv_btb
2026-03-30 05:53:39+00:00,2026-03-30 05:53:39+00:00,0.676,676.0,record.hrv_btb
2026-03-30 05:53:40+00:00,2026-03-30 05:53:40+00:00,0.717,717.0,record.hrv_btb
2026-03-30 05:53:41+00:00,2026-03-30 05:53:41+00:00,0.712,712.0,record.hrv_btb
2026-03-30 05:53:42+00:00,2026-03-30 05:53:42+00:00,0.721,721.0,record.hrv_btb
2026-03-30 05:53:43+00:00,2026-03-30 05:53:43+00:00,0.672,672.0,record.hrv_btb
2026-03-30 05:53:44+00:00,2026-03-30 05:53:44+00:00,0.777,777.0,record.hrv_btb
2026-03-30 05:53:45+00:00,2026-03-30 05:53:45+00:00,0.777,777.0,record.hrv_btb
2026-03-30 05:53:46+00:00,2026-03-30 05:53:46+00:00,0.678,678.0,record.hrv_btb
2026-03-30 05:53:47+00:00,2026-03-30 05:53:47+00:00,0.75,750.0,record.hrv_btb
2026-03-30 05:53:48+00:00,2026-03-30 05:53:48+00:00,0.7,700.0,record.hrv_btb
2026-03-30 05:53:49+00:00,2026-03-30 05:53:49+00:00,0.747,747.0,record.hrv_btb
2026-03-30 05:53:50+00:00,2026-03-30 05:53:50+00:00,0.865,865.0,record.hrv_btb
2026-03-30 05:53:51+00:00,2026-03-30 05:53:51+00:00,0.743,743.0,record.hrv_btb
2026-03-30 05:53:52+00:00,2026-03-30 05:53:52+00:00,0.727,727.0,record.hrv_btb
2026-03-30 05:53:53+00:00,2026-03-30 05:53:53+00:00,0.727,727.0,record.hrv_btb
2026-03-30 05:53:54+00:00,2026-03-30 05:53:54+00:00,0.803,803.0,record.hrv_btb
2026-03-30 05:53:55+00:00,2026-03-30 05:53:55+00:00,0.731,731.0,record.hrv_btb
2026-03-30 05:53:56+00:00,2026-03-30 05:53:56+00:00,0.724,724.0,record.hrv_btb
2026-03-30 05:53:57+00:00,2026-03-30 05:53:57+00:00,0.781,781.0,record.hrv_btb
2026-03-30 05:53:58+00:00,2026-03-30 05:53:58+00:00,0.738,738.0,record.hrv_btb
2026-03-30 05:53:59+00:00,2026-03-30 05:53:59+00:00,0.731,731.0,record.hrv_btb
2026-03-30 05:54:00+00:00,2026-03-30 05:54:00+00:00,0.758,758.0,record.hrv_btb
2026-03-30 05:54:01+00:00,2026-03-30 05:54:01+00:00,0.744,744.0,record.hrv_btb
2026-03-30 05:54:02+00:00,2026-03-30 05:54:02+00:00,0.737,737.0,record.hrv_btb
2026-03-30 05:54:03+00:00,2026-03-30 05:54:03+00:00,0.712,712.0,record.hrv_btb
2026-03-30 05:54:04+00:00,2026-03-30 05:54:04+00:00,0.698,698.0,record.hrv_btb
2026-03-30 05:54:05+00:00,2026-03-30 05:54:05+00:00,0.696,696.0,record.hrv_btb
2026-03-30 05:54:06+00:00,2026-03-30 05:54:06+00:00,0.726,726.0,record.hrv_btb
2026-03-30 05:54:07+00:00,2026-03-30 05:54:07+00:00,0.685,685.0,record.hrv_btb
2026-03-30 05:54:08+00:00,2026-03-30 05:54:08+00:00,0.674,674.0,record.hrv_btb
2026-03-30 05:54:09+00:00,2026-03-30 05:54:09+00:00,0.685,685.0,record.hrv_btb
2026-03-30 05:54:10+00:00,2026-03-30 05:54:10+00:00,0.691,691.0,record.hrv_btb
2026-03-30 05:54:11+00:00,2026-03-30 05:54:11+00:00,0.692,692.0,record.hrv_btb
2026-03-30 05:54:12+00:00,2026-03-30 05:54:12+00:00,0.687,687.0,record.hrv_btb
2026-03-30 05:54:13+00:00,2026-03-30 05:54:13+00:00,0.678,678.0,record.hrv_btb
2026-03-30 05:54:14+00:00,2026-03-30 05:54:14+00:00,0.678,678.0,record.hrv_btb
2026-03-30 05:54:15+00:00,2026-03-30 05:54:15+00:00,0.67,670.0,record.hrv_btb
2026-03-30 05:54:16+00:00,2026-03-30 05:54:16+00:00,0.658,658.0,record.hrv_btb
2026-03-30 05:54:17+00:00,2026-03-30 05:54:17+00:00,0.606,606.0,record.hrv_btb
2026-03-30 05:54:18+00:00,2026-03-30 05:54:18+00:00,0.658,658.0,record.hrv_btb
2026-03-30 05:54:19+00:00,2026-03-30 05:54:19+00:00,0.614,614.0,record.hrv_btb
2026-03-30 05:54:20+00:00,2026-03-30 05:54:20+00:00,0.639,639.0,record.hrv_btb
2026-03-30 05:54:21+00:00,2026-03-30 05:54:21+00:00,0.683,683.0,record.hrv_btb
2026-03-30 05:54:22+00:00,2026-03-30 05:54:22+00:00,0.679,679.0,record.hrv_btb
2026-03-30 05:54:23+00:00,2026-03-30 05:54:23+00:00,0.648,648.0,record.hrv_btb
2026-03-30 05:54:24+00:00,2026-03-30 05:54:24+00:00,0.632,632.0,record.hrv_btb
2026-03-30 05:54:25+00:00,2026-03-30 05:54:25+00:00,0.665,665.0,record.hrv_btb
2026-03-30 05:54:26+00:00,2026-03-30 05:54:26+00:00,0.663,663.0,record.hrv_btb
2026-03-30 05:54:27+00:00,2026-03-30 05:54:27+00:00,0.661,661.0,record.hrv_btb
2026-03-30 05:54:28+00:00,2026-03-30 05:54:28+00:00,0.675,675.0,record.hrv_btb
2026-03-30 05:54:29+00:00,2026-03-30 05:54:29+00:00,0.662,662.0,record.hrv_btb
2026-03-30 05:54:30+00:00,2026-03-30 05:54:30+00:00,0.662,662.0,record.hrv_btb
2026-03-30 05:54:31+00:00,2026-03-30 05:54:31+00:00,0.662,662.0,record.hrv_btb
2026-03-30 05:54:32+00:00,2026-03-30 05:54:32+00:00,0.674,674.0,record.hrv_btb
2026-03-30 05:54:33+00:00,2026-03-30 05:54:33+00:00,0.673,673.0,record.hrv_btb
2026-03-30 05:54:34+00:00,2026-03-30 05:54:34+00:00,0.671,671.0,record.hrv_btb
2026-03-30 05:54:35+00:00,2026-03-30 05:54:35+00:00,0.678,678.0,record.hrv_btb
2026-03-30 05:54:36+00:00,2026-03-30 05:54:36+00:00,0.688,688.0,record.hrv_btb
2026-03-30 05:54:37+00:00,2026-03-30 05:54:37+00:00,0.686,686.0,record.hrv_btb
2026-03-30 05:54:38+00:00,2026-03-30 05:54:38+00:00,0.684,684.0,record.hrv_btb
2026-03-30 05:54:39+00:00,2026-03-30 05:54:39+00:00,0.605,605.0,record.hrv_btb
2026-03-30 05:54:40+00:00,2026-03-30 05:54:40+00:00,0.598,598.0,record.hrv_btb
2026-03-30 05:54:41+00:00,2026-03-30 05:54:41+00:00,0.654,654.0,record.hrv_btb
2026-03-30 05:54:42+00:00,2026-03-30 05:54:42+00:00,0.757,757.0,record.hrv_btb
