anchor_timestamp,beat_timestamp,rr_s,rr_ms,source
2026-04-04 12:08:31+00:00,2026-04-04 12:08:31+00:00,0.863,863.0,record.hrv_btb
2026-04-04 12:08:32+00:00,2026-04-04 12:08:32+00:00,0.835,835.0,record.hrv_btb
2026-04-04 12:08:33+00:00,2026-04-04 12:08:33+00:00,0.835,835.0,record.hrv_btb
2026-04-04 12:08:34+00:00,2026-04-04 12:08:34+00:00,0.835,835.0,record.hrv_btb
2026-04-04 12:08:35+00:00,2026-04-04 12:08:35+00:00,0.835,835.0,record.hrv_btb
2026-04-04 12:08:36+00:00,2026-04-04 12:08:36+00:00,0.835,835.0,record.hrv_btb
2026-04-04 12:08:37+00:00,2026-04-04 12:08:37+00:00,0.835,835.0,record.hrv_btb
2026-04-04 12:08:38+00:00,2026-04-04 12:08:38+00:00,0.77,770.0,record.hrv_btb
2026-04-04 12:08:39+00:00,2026-04-04 12:08:39+00:00,0.77,770.0,record.hrv_btb
2026-04-04 12:08:40+00:00,2026-04-04 12:08:40+00:00,0.869,869.0,record.hrv_btb
2026-04-04 12:08:41+00:00,2026-04-04 12:08:41+00:00,0.869,869.0,record.hrv_btb
2026-04-04 12:08:42+00:00,2026-04-04 12:08:42+00:00,0.869,869.0,record.hrv_btb
2026-04-04 12:08:43+00:00,2026-04-04 12:08:43+00:00,0.997,997.0,record.hrv_btb
2026-04-04 12:08:44+00:00,2026-04-04 12:08:44+00:00,0.816,816.0,record.hrv_btb
2026-04-04 12:08:45+00:00,2026-04-04 12:08:45+00:00,0.899,899.0,record.hrv_btb
2026-04-04 12:08:46+00:00,2026-04-04 12:08:46+00:00,0.808,808.0,record.hrv_btb
2026-04-04 12:08:47+00:00,2026-04-04 12:08:47+00:00,0.805,805.0,record.hrv_btb
2026-04-04 12:08:48+00:00,2026-04-04 12:08:48+00:00,0.851,851.0,record.hrv_btb
2026-04-04 12:08:49+00:00,2026-04-04 12:08:49+00:00,0.79,790.0,record.hrv_btb
2026-04-04 12:08:50+00:00,2026-04-04 12:08:50+00:00,0.803,803.0,record.hrv_btb
2026-04-04 12:08:51+00:00,2026-04-04 12:08:51+00:00,0.811,811.0,record.hrv_btb
2026-04-04 12:08:52+00:00,2026-04-04 12:08:52+00:00,0.828,828.0,record.hrv_btb
2026-04-04 12:08:53+00:00,2026-04-04 12:08:53+00:00,0.828,828.0,record.hrv_btb
2026-04-04 12:08:54+00:00,2026-04-04 12:08:54+00:00,0.793,793.0,record.hrv_btb
2026-04-04 12:08:55+00:00,2026-04-04 12:08:55+00:00,0.803,803.0,record.hrv_btb
2026-04-04 12:08:56+00:00,2026-04-04 12:08:56+00:00,0.819,819.0,record.hrv_btb
2026-04-04 12:08:57+00:00,2026-04-04 12:08:57+00:00,0.796,796.0,record.hrv_btb
2026-04-04 12:08:58+00:00,2026-04-04 12:08:58+00:00,0.8,800.0,record.hrv_btb
2026-04-04 12:08:59+00:00,2026-04-04 12:08:59+00:00,0.8,800.0,record.hrv_btb
2026-04-04 12:09:00+00:00,2026-04-04 12:09:00+00:00,0.8,800.0,record.hrv_btb
2026-04-04 12:09:01+00:00,2026-04-04 12:09:01+00:00,0.866,866.0,record.hrv_btb
2026-04-04 12:09:02+00:00,2026-04-04 12:09:02+00:00,0.842,842.0,record.hrv_btb
2026-04-04 12:09:03+00:00,2026-04-04 12:09:03+00:00,0.842,842.0,record.hrv_btb
2026-04-04 12:09:04+00:00,2026-04-04 12:09:04+00:00,0.842,842.0,record.hrv_btb
2026-04-04 12:09:05+00:00,2026-04-04 12:09:05+00:00,0.728,728.0,record.hrv_btb
2026-04-04 12:09:06+00:00,2026-04-04 12:09:06+00:00,0.765,765.0,record.hrv_btb
2026-04-04 12:09:07+00:00,2026-04-04 12:09:07+00:00,0.765,765.0,record.hrv_btb
2026-04-04 12:09:08+00:00,2026-04-04 12:09:08+00:00,0.757,757.0,record.hrv_btb
2026-04-04 12:09:09+00:00,2026-04-04 12:09:09+00:00,0.81,810.0,record.hrv_btb
2026-04-04 12:09:10+00:00,2026-04-04 12:09:10+00:00,0.798,798.0,record.hrv_btb
2026-04-04 12:09:11+00:00,2026-04-04 12:09:11+00:00,0.817,817.0,record.hrv_btb
2026-04-04 12:09:12+00:00,2026-04-04 12:09:12+00:00,0.874,874.0,record.hrv_btb
2026-04-04 12:09:13+00:00,2026-04-04 12:09:13+00:00,0.83,830.0,record.hrv_btb
2026-04-04 12:09:14+00:00,2026-04-04 12:09:14+00:00,0.783,783.0,record.hrv_btb
2026-04-04 12:09:15+00:00,2026-04-04 12:09:15+00:00,0.818,818.0,record.hrv_btb
2026-04-04 12:09:16+00:00,2026-04-04 12:09:16+00:00,0.83,830.0,record.hrv_btb
2026-04-04 12:09:17+00:00,2026-04-04 12:09:17+00:00,0.843,843.0,record.hrv_btb
2026-04-04 12:09:18+00:00,2026-04-04 12:09:18+00:00,0.834,834.0,record.hrv_btb
2026-04-04 12:09:19+00:00,2026-04-04 12:09:19+00:00,0.827,827.0,record.hrv_btb
2026-04-04 12:09:20+00:00,2026-04-04 12:09:20+00:00,0.788,788.0,record.hrv_btb
2026-04-04 12:09:21+00:00,2026-04-04 12:09:21+00:00,0.766,766.0,record.hrv_btb
2026-04-04 12:09:22+00:00,2026-04-04 12:09:22+00:00,0.868,868.0,record.hrv_btb
2026-04-04 12:09:23+00:00,2026-04-04 12:09:23+00:00,0.899,899.0,record.hrv_btb
2026-04-04 12:09:24+00:00,2026-04-04 12:09:24+00:00,0.858,858.0,record.hrv_btb
2026-04-04 12:09:25+00:00,2026-04-04 12:09:25+00:00,0.836,836.0,record.hrv_btb
2026-04-04 12:09:26+00:00,2026-04-04 12:09:26+00:00,0.848,848.0,record.hrv_btb
2026-04-04 12:09:27+00:00,2026-04-04 12:09:27+00:00,0.848,848.0,record.hrv_btb
2026-04-04 12:09:28+00:00,2026-04-04 12:09:28+00:00,0.867,867.0,record.hrv_btb
2026-04-04 12:09:29+00:00,2026-04-04 12:09:29+00:00,0.897,897.0,record.hrv_btb
2026-04-04 12:09:30+00:00,2026-04-04 12:09:30+00:00,0.953,953.0,record.hrv_btb
2026-04-04 12:09:31+00:00,2026-04-04 12:09:31+00:00,0.81,810.0,record.hrv_btb
2026-04-04 12:09:32+00:00,2026-04-04 12:09:32+00:00,0.81,810.0,record.hrv_btb
2026-04-04 12:09:33+00:00,2026-04-04 12:09:33+00:00,1.047,1047.0,record.hrv_btb
2026-04-04 12:09:34+00:00,2026-04-04 12:09:34+00:00,0.955,955.0,record.hrv_btb
2026-04-04 12:09:35+00:00,2026-04-04 12:09:35+00:00,0.858,858.0,record.hrv_btb
2026-04-04 12:09:36+00:00,2026-04-04 12:09:36+00:00,0.831,831.0,record.hrv_btb
2026-04-04 12:09:37+00:00,2026-04-04 12:09:37+00:00,0.82,820.0,record.hrv_btb
2026-04-04 12:09:38+00:00,2026-04-04 12:09:38+00:00,0.822,822.0,record.hrv_btb
2026-04-04 12:09:39+00:00,2026-04-04 12:09:39+00:00,0.846,846.0,record.hrv_btb
2026-04-04 12:09:40+00:00,2026-04-04 12:09:40+00:00,0.841,841.0,record.hrv_btb
2026-04-04 12:09:41+00:00,2026-04-04 12:09:41+00:00,0.818,818.0,record.hrv_btb
2026-04-04 12:09:42+00:00,2026-04-04 12:09:42+00:00,0.84,840.0,record.hrv_btb
2026-04-04 12:09:43+00:00,2026-04-04 12:09:43+00:00,0.748,748.0,record.hrv_btb
2026-04-04 12:09:44+00:00,2026-04-04 12:09:44+00:00,0.803,803.0,record.hrv_btb
2026-04-04 12:09:45+00:00,2026-04-04 12:09:45+00:00,0.833,833.0,record.hrv_btb
2026-04-04 12:09:46+00:00,2026-04-04 12:09:46+00:00,0.828,828.0,record.hrv_btb
2026-04-04 12:09:47+00:00,2026-04-04 12:09:47+00:00,0.811,811.0,record.hrv_btb
2026-04-04 12:09:48+00:00,2026-04-04 12:09:48+00:00,0.855,855.0,record.hrv_btb
2026-04-04 12:09:49+00:00,2026-04-04 12:09:49+00:00,0.9,900.0,record.hrv_btb
2026-04-04 12:09:50+00:00,2026-04-04 12:09:50+00:00,0.813,813.0,record.hrv_btb
2026-04-04 12:09:51+00:00,2026-04-04 12:09:51+00:00,0.791,791.0,record.hrv_btb
2026-04-04 12:09:52+00:00,2026-04-04 12:09:52+00:00,0.675,675.0,record.hrv_btb
2026-04-04 12:09:53+00:00,2026-04-04 12:09:53+00:00,0.814,814.0,record.hrv_btb
2026-04-04 12:09:54+00:00,2026-04-04 12:09:54+00:00,0.814,814.0,record.hrv_btb
2026-04-04 12:09:55+00:00,2026-04-04 12:09:55+00:00,0.814,814.0,record.hrv_btb
2026-04-04 12:09:56+00:00,2026-04-04 12:09:56+00:00,0.814,814.0,record.hrv_btb
2026-04-04 12:09:57+00:00,2026-04-04 12:09:57+00:00,0.814,814.0,record.hrv_btb
2026-04-04 12:09:58+00:00,2026-04-04 12:09:58+00:00,0.802,802.0,record.hrv_btb
2026-04-04 12:09:59+00:00,2026-04-04 12:09:59+00:00,0.809,809.0,record.hrv_btb
2026-04-04 12:10:00+00:00,2026-04-04 12:10:00+00:00,0.823,823.0,record.hrv_btb
2026-04-04 12:10:01+00:00,2026-04-04 12:10:01+00:00,0.79,790.0,record.hrv_btb
2026-04-04 12:10:02+00:00,2026-04-04 12:10:02+00:00,0.79,790.0,record.hrv_btb
2026-04-04 12:10:03+00:00,2026-04-04 12:10:03+00:00,0.754,754.0,record.hrv_btb
2026-04-04 12:10:04+00:00,2026-04-04 12:10:04+00:00,0.827,827.0,record.hrv_btb
2026-04-04 12:10:05+00:00,2026-04-04 12:10:05+00:00,0.843,843.0,record.hrv_btb
2026-04-04 12:10:06+00:00,2026-04-04 12:10:06+00:00,0.843,843.0,record.hrv_btb
2026-04-04 12:10:07+00:00,2026-04-04 12:10:07+00:00,0.843,843.0,record.hrv_btb
2026-04-04 12:10:08+00:00,2026-04-04 12:10:08+00:00,0.843,843.0,record.hrv_btb
2026-04-04 12:10:09+00:00,2026-04-04 12:10:09+00:00,0.843,843.0,record.hrv_btb
2026-04-04 12:10:10+00:00,2026-04-04 12:10:10+00:00,0.845,845.0,record.hrv_btb
2026-04-04 12:10:11+00:00,2026-04-04 12:10:11+00:00,0.845,845.0,record.hrv_btb
2026-04-04 12:10:12+00:00,2026-04-04 12:10:12+00:00,0.876,876.0,record.hrv_btb
2026-04-04 12:10:13+00:00,2026-04-04 12:10:13+00:00,0.876,876.0,record.hrv_btb
2026-04-04 12:10:14+00:00,2026-04-04 12:10:14+00:00,0.876,876.0,record.hrv_btb
2026-04-04 12:10:15+00:00,2026-04-04 12:10:15+00:00,0.876,876.0,record.hrv_btb
2026-04-04 12:10:16+00:00,2026-04-04 12:10:16+00:00,0.876,876.0,record.hrv_btb
2026-04-04 12:10:17+00:00,2026-04-04 12:10:17+00:00,0.876,876.0,record.hrv_btb
2026-04-04 12:10:18+00:00,2026-04-04 12:10:18+00:00,0.876,876.0,record.hrv_btb
2026-04-04 12:10:19+00:00,2026-04-04 12:10:19+00:00,0.876,876.0,record.hrv_btb
2026-04-04 12:10:20+00:00,2026-04-04 12:10:20+00:00,0.876,876.0,record.hrv_btb
2026-04-04 12:10:21+00:00,2026-04-04 12:10:21+00:00,0.876,876.0,record.hrv_btb
2026-04-04 12:10:22+00:00,2026-04-04 12:10:22+00:00,0.876,876.0,record.hrv_btb
2026-04-04 12:10:23+00:00,2026-04-04 12:10:23+00:00,0.876,876.0,record.hrv_btb
2026-04-04 12:10:24+00:00,2026-04-04 12:10:24+00:00,0.876,876.0,record.hrv_btb
2026-04-04 12:10:25+00:00,2026-04-04 12:10:25+00:00,0.924,924.0,record.hrv_btb
2026-04-04 12:10:26+00:00,2026-04-04 12:10:26+00:00,0.924,924.0,record.hrv_btb
2026-04-04 12:10:27+00:00,2026-04-04 12:10:27+00:00,0.937,937.0,record.hrv_btb
2026-04-04 12:10:28+00:00,2026-04-04 12:10:28+00:00,0.918,918.0,record.hrv_btb
2026-04-04 12:10:29+00:00,2026-04-04 12:10:29+00:00,0.889,889.0,record.hrv_btb
2026-04-04 12:10:30+00:00,2026-04-04 12:10:30+00:00,0.899,899.0,record.hrv_btb
2026-04-04 12:10:31+00:00,2026-04-04 12:10:31+00:00,0.902,902.0,record.hrv_btb
2026-04-04 12:10:32+00:00,2026-04-04 12:10:32+00:00,0.936,936.0,record.hrv_btb
2026-04-04 12:10:33+00:00,2026-04-04 12:10:33+00:00,0.936,936.0,record.hrv_btb
2026-04-04 12:10:34+00:00,2026-04-04 12:10:34+00:00,0.936,936.0,record.hrv_btb
2026-04-04 12:10:35+00:00,2026-04-04 12:10:35+00:00,0.936,936.0,record.hrv_btb
2026-04-04 12:10:36+00:00,2026-04-04 12:10:36+00:00,0.857,857.0,record.hrv_btb
2026-04-04 12:10:37+00:00,2026-04-04 12:10:37+00:00,0.857,857.0,record.hrv_btb
2026-04-04 12:10:38+00:00,2026-04-04 12:10:38+00:00,0.859,859.0,record.hrv_btb
2026-04-04 12:10:39+00:00,2026-04-04 12:10:39+00:00,0.855,855.0,record.hrv_btb
2026-04-04 12:10:40+00:00,2026-04-04 12:10:40+00:00,0.849,849.0,record.hrv_btb
2026-04-04 12:10:41+00:00,2026-04-04 12:10:41+00:00,0.804,804.0,record.hrv_btb
