anchor_timestamp,beat_timestamp,rr_s,rr_ms,source
2026-03-31 04:17:39+00:00,2026-03-31 04:17:39+00:00,0.865,865.0,record.hrv_btb
2026-03-31 04:17:40+00:00,2026-03-31 04:17:40+00:00,0.89,890.0,record.hrv_btb
2026-03-31 04:17:41+00:00,2026-03-31 04:17:41+00:00,0.947,947.0,record.hrv_btb
2026-03-31 04:17:42+00:00,2026-03-31 04:17:42+00:00,1.023,1022.9999999999999,record.hrv_btb
2026-03-31 04:17:43+00:00,2026-03-31 04:17:43+00:00,0.937,937.0,record.hrv_btb
2026-03-31 04:17:44+00:00,2026-03-31 04:17:44+00:00,0.9,900.0,record.hrv_btb
2026-03-31 04:17:45+00:00,2026-03-31 04:17:45+00:00,0.912,912.0,record.hrv_btb
2026-03-31 04:17:46+00:00,2026-03-31 04:17:46+00:00,0.907,907.0,record.hrv_btb
2026-03-31 04:17:47+00:00,2026-03-31 04:17:47+00:00,0.958,958.0,record.hrv_btb
2026-03-31 04:17:48+00:00,2026-03-31 04:17:48+00:00,1.0,1000.0,record.hrv_btb
2026-03-31 04:17:49+00:00,2026-03-31 04:17:49+00:00,0.88,880.0,record.hrv_btb
2026-03-31 04:17:50+00:00,2026-03-31 04:17:50+00:00,0.823,823.0,record.hrv_btb
2026-03-31 04:17:51+00:00,2026-03-31 04:17:51+00:00,0.85,850.0,record.hrv_btb
2026-03-31 04:17:52+00:00,2026-03-31 04:17:52+00:00,0.876,876.0,record.hrv_btb
2026-03-31 04:17:53+00:00,2026-03-31 04:17:53+00:00,0.896,896.0,record.hrv_btb
2026-03-31 04:17:54+00:00,2026-03-31 04:17:54+00:00,0.869,869.0,record.hrv_btb
2026-03-31 04:17:55+00:00,2026-03-31 04:17:55+00:00,0.874,874.0,record.hrv_btb
2026-03-31 04:17:56+00:00,2026-03-31 04:17:56+00:00,0.887,887.0,record.hrv_btb
2026-03-31 04:17:57+00:00,2026-03-31 04:17:57+00:00,0.873,873.0,record.hrv_btb
2026-03-31 04:17:58+00:00,2026-03-31 04:17:58+00:00,0.871,871.0,record.hrv_btb
2026-03-31 04:17:59+00:00,2026-03-31 04:17:59+00:00,0.877,877.0,record.hrv_btb
2026-03-31 04:18:00+00:00,2026-03-31 04:18:00+00:00,0.883,883.0,record.hrv_btb
2026-03-31 04:18:01+00:00,2026-03-31 04:18:01+00:00,0.867,867.0,record.hrv_btb
2026-03-31 04:18:02+00:00,2026-03-31 04:18:02+00:00,0.843,843.0,record.hrv_btb
2026-03-31 04:18:03+00:00,2026-03-31 04:18:03+00:00,0.788,788.0,record.hrv_btb
2026-03-31 04:18:04+00:00,2026-03-31 04:18:04+00:00,0.755,755.0,record.hrv_btb
2026-03-31 04:18:05+00:00,2026-03-31 04:18:05+00:00,0.855,855.0,record.hrv_btb
2026-03-31 04:18:06+00:00,2026-03-31 04:18:06+00:00,0.888,888.0,record.hrv_btb
2026-03-31 04:18:07+00:00,2026-03-31 04:18:07+00:00,0.894,894.0,record.hrv_btb
2026-03-31 04:18:08+00:00,2026-03-31 04:18:08+00:00,0.9,900.0,record.hrv_btb
2026-03-31 04:18:09+00:00,2026-03-31 04:18:09+00:00,0.913,913.0,record.hrv_btb
2026-03-31 04:18:10+00:00,2026-03-31 04:18:10+00:00,0.957,957.0,record.hrv_btb
2026-03-31 04:18:11+00:00,2026-03-31 04:18:11+00:00,0.957,957.0,record.hrv_btb
2026-03-31 04:18:12+00:00,2026-03-31 04:18:12+00:00,1.057,1057.0,record.hrv_btb
2026-03-31 04:18:13+00:00,2026-03-31 04:18:13+00:00,1.057,1057.0,record.hrv_btb
2026-03-31 04:18:14+00:00,2026-03-31 04:18:14+00:00,0.836,836.0,record.hrv_btb
2026-03-31 04:18:15+00:00,2026-03-31 04:18:15+00:00,0.84,840.0,record.hrv_btb
2026-03-31 04:18:16+00:00,2026-03-31 04:18:16+00:00,0.853,853.0,record.hrv_btb
2026-03-31 04:18:17+00:00,2026-03-31 04:18:17+00:00,0.942,942.0,record.hrv_btb
