type,sessions,total_load,moving_hours,distance_km,avg_hr
Run,524,20072.0,224.21666666666667,1216.97240923,124.29702970297029
Workout,900,7135.0,124.27722222222222,1.34434,82.98327759197325
Walk,973,5392.0,181.1777777777778,791.21404216,92.38542766631468
Yoga,531,2765.0,108.90861111111111,0.08137,77.53483992467044
WeightTraining,102,1829.0,25.466111111111115,0.0,100.43137254901961
Other,48,1105.0,21.576388888888893,14.37682,96.15555555555555
Pilates,44,563.0,12.912777777777778,0.0,89.325
VirtualRun,14,220.0,2.591111111111111,13.63607,107.3076923076923
Crossfit,14,72.0,10.852777777777778,0.0,96.18181818181819
Swim,22,70.0,1.2477777777777779,4.348333324,97.31818181818181
OpenWaterSwim,15,46.0,0.5194444444444445,2.21307,114.33333333333333
Ride,5,15.0,1.561388888888889,22.23,98.4
Transition,2,4.0,0.1461111111111111,0.0,80.5
