date,source,steps,active_minutes,training_load,vo2max,body_battery_min,body_battery_max
2026-01-27,sample,9306.0,49.0,51.0,45,35.0,77.0
2026-01-28,sample,10219.0,43.0,32.0,45,26.0,86.0
2026-01-29,sample,10692.0,51.0,77.0,45,33.0,67.0
2026-01-30,sample,9972.0,46.0,55.0,45,21.0,84.0
2026-01-31,sample,7835.0,47.0,78.0,45,25.0,99.0
2026-02-01,sample,8529.0,39.0,40.0,45,24.0,85.0
2026-02-02,sample,9150.0,24.0,61.0,45,17.0,76.0
2026-02-03,sample,8182.0,22.0,84.0,45,32.0,75.0
2026-02-04,sample,8196.0,55.0,89.0,45,32.0,76.0
2026-02-05,sample,9236.0,41.0,90.0,45,31.0,77.0
2026-02-06,sample,7911.0,36.0,47.0,45,40.0,76.0
2026-02-07,sample,6906.0,45.0,101.0,45,39.0,89.0
2026-02-08,sample,7378.0,57.0,60.0,45,21.0,63.0
2026-02-09,sample,8951.0,48.0,96.0,45,29.0,89.0
2026-02-10,sample,8004.0,35.0,80.0,45,19.0,76.0
2026-02-11,sample,8510.0,63.0,46.0,45,25.0,84.0
2026-02-12,sample,9005.0,69.0,72.0,45,19.0,69.0
2026-02-13,sample,7438.0,52.0,89.0,45,41.0,93.0
2026-02-14,sample,9134.0,60.0,95.0,45,29.0,92.0
2026-02-15,sample,8568.0,64.0,76.0,45,23.0,90.0
2026-02-16,sample,6148.0,62.0,118.0,45,37.0,65.0
2026-02-17,sample,10163.0,54.0,105.0,45,3.0,88.0
2026-02-18,sample,7249.0,54.0,74.0,45,5.0,84.0
2026-02-19,sample,5517.0,53.0,99.0,45,33.0,64.0
2026-02-20,sample,6432.0,29.0,128.0,45,26.0,80.0
2026-02-21,sample,6468.0,56.0,129.0,45,28.0,84.0
2026-02-22,sample,8078.0,25.0,49.0,45,12.0,86.0
2026-02-23,sample,7589.0,33.0,57.0,45,25.0,82.0
2026-02-24,sample,7495.0,65.0,117.0,45,45.0,83.0
2026-02-25,sample,8930.0,58.0,54.0,45,33.0,95.0
2026-02-26,sample,8510.0,67.0,47.0,45,27.0,92.0
2026-02-27,sample,8474.0,41.0,68.0,45,21.0,51.0
2026-02-28,sample,8615.0,28.0,91.0,45,21.0,77.0
2026-03-01,sample,8924.0,41.0,77.0,45,4.0,78.0
2026-03-02,sample,4838.0,47.0,64.0,45,28.0,62.0
2026-03-03,sample,7453.0,46.0,63.0,45,33.0,81.0
2026-03-04,sample,4730.0,62.0,62.0,45,9.0,92.0
2026-03-05,sample,8054.0,40.0,58.0,45,18.0,69.0
2026-03-06,sample,7993.0,50.0,137.0,45,13.0,83.0
2026-03-07,sample,9568.0,30.0,87.0,45,15.0,71.0
2026-03-08,sample,9781.0,52.0,102.0,45,26.0,73.0
2026-03-09,sample,8304.0,45.0,68.0,45,4.0,95.0
2026-03-10,sample,7249.0,34.0,75.0,45,31.0,75.0
2026-03-11,sample,8728.0,41.0,62.0,45,33.0,85.0
2026-03-12,sample,7208.0,42.0,14.0,45,22.0,61.0
2026-03-13,sample,7998.0,41.0,46.0,45,0.0,99.0
2026-03-14,sample,9479.0,72.0,35.0,45,15.0,86.0
2026-03-15,sample,7163.0,44.0,24.0,45,37.0,78.0
2026-03-16,sample,9209.0,41.0,50.0,45,-3.0,86.0
2026-03-17,sample,9016.0,14.0,113.0,45,22.0,66.0
2026-03-18,sample,6568.0,32.0,79.0,45,13.0,92.0
2026-03-19,sample,9461.0,41.0,112.0,45,33.0,77.0
2026-03-20,sample,9048.0,35.0,90.0,45,18.0,78.0
2026-03-21,sample,8153.0,66.0,100.0,45,29.0,75.0
2026-03-22,sample,6857.0,43.0,57.0,45,31.0,74.0
2026-03-23,sample,6711.0,64.0,93.0,45,43.0,87.0
2026-03-24,sample,7194.0,46.0,98.0,45,23.0,83.0
2026-03-25,sample,8814.0,46.0,66.0,45,29.0,87.0
2026-03-26,sample,6567.0,44.0,94.0,45,10.0,80.0
2026-03-27,sample,8656.0,45.0,94.0,45,37.0,85.0
2026-03-28,sample,6137.0,71.0,66.0,45,17.0,76.0
2026-03-29,sample,7694.0,10.0,52.0,45,19.0,102.0
2026-03-30,sample,8164.0,15.0,50.0,45,25.0,64.0
2026-03-31,sample,11668.0,37.0,82.0,45,9.0,93.0
2026-04-01,sample,5934.0,45.0,88.0,45,27.0,94.0
2026-04-02,sample,10208.0,55.0,60.0,45,35.0,71.0
2026-04-03,sample,8225.0,52.0,81.0,45,28.0,102.0
2026-04-04,sample,8617.0,39.0,94.0,45,9.0,90.0
2026-04-05,sample,8178.0,60.0,95.0,45,24.0,90.0
2026-04-06,sample,8667.0,60.0,119.0,45,32.0,80.0
2026-04-07,sample,7769.0,48.0,112.0,45,6.0,78.0
2026-04-08,sample,10181.0,59.0,55.0,45,14.0,78.0
2026-04-09,sample,7315.0,49.0,122.0,45,34.0,84.0
2026-04-10,sample,9698.0,37.0,67.0,45,28.0,94.0
2026-04-11,sample,7033.0,55.0,106.0,45,29.0,82.0
2026-04-12,sample,7910.0,47.0,82.0,45,44.0,71.0
2026-04-13,sample,6392.0,45.0,70.0,45,30.0,88.0
2026-04-14,sample,8683.0,67.0,35.0,45,32.0,89.0
2026-04-15,sample,10168.0,8.0,76.0,45,52.0,87.0
2026-04-16,sample,7884.0,24.0,41.0,45,23.0,87.0
2026-04-17,sample,7705.0,27.0,104.0,45,17.0,77.0
2026-04-18,sample,6328.0,40.0,118.0,45,29.0,71.0
2026-04-19,sample,7656.0,41.0,60.0,45,29.0,71.0
2026-04-20,sample,5611.0,22.0,88.0,45,20.0,64.0
2026-04-21,sample,6631.0,30.0,62.0,45,15.0,82.0
2026-04-22,sample,8340.0,32.0,64.0,45,48.0,79.0
2026-04-23,sample,9979.0,82.0,99.0,45,28.0,76.0
2026-04-24,sample,12214.0,72.0,79.0,45,18.0,50.0
2026-04-25,sample,7120.0,39.0,123.0,45,34.0,68.0
2026-04-26,sample,10153.0,40.0,68.0,45,24.0,91.0
