date,source,rmssd_ms,sdnn_ms,pnn50_pct,lf_hf_ratio,resting_hr_bpm,night_hrv_flag
2026-01-27,sample,46.8,60.3,26.5,1.28,60.0,1
2026-01-28,sample,38.8,54.2,21.1,1.59,61.0,1
2026-01-29,sample,49.5,51.6,17.9,1.47,63.0,1
2026-01-30,sample,50.6,54.4,25.5,2.13,57.0,1
2026-01-31,sample,33.3,41.5,22.1,1.97,60.0,1
2026-02-01,sample,37.2,43.4,27.7,1.62,64.0,1
2026-02-02,sample,45.8,44.4,20.9,1.27,58.0,1
2026-02-03,sample,43.1,47.0,13.9,1.17,58.0,1
2026-02-04,sample,44.9,58.2,13.2,1.86,61.0,1
2026-02-05,sample,39.9,47.8,28.3,1.58,63.0,1
2026-02-06,sample,50.3,52.0,28.6,1.64,60.0,1
2026-02-07,sample,49.7,65.4,19.1,0.98,64.0,1
2026-02-08,sample,45.4,52.1,18.1,1.78,63.0,1
2026-02-09,sample,51.8,60.9,27.3,1.64,63.0,1
2026-02-10,sample,47.8,47.5,14.5,1.17,62.0,1
2026-02-11,sample,39.8,53.4,15.5,1.36,67.0,1
2026-02-12,sample,47.2,47.4,23.2,1.58,59.0,1
2026-02-13,sample,39.2,52.3,18.0,1.52,54.0,1
2026-02-14,sample,50.3,61.7,20.0,1.41,65.0,1
2026-02-15,sample,44.7,41.2,19.2,1.47,59.0,1
2026-02-16,sample,43.9,58.5,21.7,1.42,60.0,1
2026-02-17,sample,40.9,56.9,27.0,1.55,64.0,1
2026-02-18,sample,52.3,50.2,20.5,1.94,55.0,1
2026-02-19,sample,44.1,43.4,23.2,0.73,56.0,1
2026-02-20,sample,42.4,55.6,9.7,1.43,55.0,1
2026-02-21,sample,42.9,50.8,19.8,1.55,58.0,1
2026-02-22,sample,48.2,56.9,15.8,1.59,61.0,1
2026-02-23,sample,47.2,55.2,13.9,1.39,62.0,1
2026-02-24,sample,47.5,67.8,15.6,0.97,61.0,1
2026-02-25,sample,47.6,53.1,18.3,1.6,56.0,1
2026-02-26,sample,57.8,46.8,24.6,2.02,53.0,1
2026-02-27,sample,42.6,56.4,13.4,1.04,60.0,1
2026-02-28,sample,41.9,56.8,20.2,1.76,59.0,1
2026-03-01,sample,40.1,65.9,17.6,1.4,61.0,1
2026-03-02,sample,48.7,61.7,18.4,1.48,62.0,1
2026-03-03,sample,51.8,57.9,25.0,1.18,60.0,1
2026-03-04,sample,44.3,66.7,22.7,1.4,62.0,1
2026-03-05,sample,40.0,45.5,26.7,1.89,61.0,1
2026-03-06,sample,40.1,49.9,19.2,1.67,62.0,1
2026-03-07,sample,48.9,47.6,16.5,2.02,58.0,1
2026-03-08,sample,49.5,51.9,18.9,1.85,59.0,1
2026-03-09,sample,48.3,44.0,21.2,1.63,61.0,1
2026-03-10,sample,41.0,60.1,20.9,2.02,62.0,1
2026-03-11,sample,46.4,53.2,14.6,1.63,59.0,1
2026-03-12,sample,45.7,43.2,20.5,1.75,62.0,1
2026-03-13,sample,46.3,46.9,21.1,1.41,59.0,1
2026-03-14,sample,50.2,57.5,32.6,1.52,60.0,1
2026-03-15,sample,46.3,61.7,29.4,1.29,62.0,1
2026-03-16,sample,49.1,71.0,15.7,1.8,54.0,1
2026-03-17,sample,45.4,78.3,18.6,1.15,56.0,1
2026-03-18,sample,46.7,58.3,12.7,1.73,56.0,1
2026-03-19,sample,48.8,47.1,17.0,1.44,53.0,1
2026-03-20,sample,36.3,37.9,21.6,1.85,58.0,1
2026-03-21,sample,43.1,57.1,26.0,1.73,62.0,1
