date,source,sleep_duration_h,sleep_score,deep_sleep_h,rem_sleep_h,awake_time_min,sleep_efficiency_pct
2026-01-27,sample,7.12,65.0,1.78,1.57,43.0,89.0
2026-01-28,sample,7.41,71.0,2.06,1.94,39.0,88.0
2026-01-29,sample,8.37,80.0,1.18,0.92,48.0,86.0
2026-01-30,sample,8.45,77.0,0.72,1.15,40.0,95.0
2026-01-31,sample,7.24,76.0,1.21,1.32,39.0,84.0
2026-02-01,sample,7.3,77.0,1.21,2.04,48.0,97.0
2026-02-02,sample,7.85,80.0,1.24,1.68,41.0,86.0
2026-02-03,sample,6.69,70.0,0.97,1.83,47.0,81.0
2026-02-04,sample,7.4,84.0,1.47,1.26,48.0,87.0
2026-02-05,sample,7.18,83.0,1.46,1.26,34.0,82.0
2026-02-06,sample,7.39,81.0,0.85,1.73,40.0,83.0
2026-02-07,sample,6.7,82.0,1.51,1.62,59.0,89.0
2026-02-08,sample,6.25,80.0,1.92,1.76,33.0,90.0
2026-02-09,sample,5.96,94.0,1.35,1.54,24.0,84.0
2026-02-10,sample,6.53,77.0,1.2,1.68,26.0,92.0
2026-02-11,sample,6.92,76.0,1.26,1.65,45.0,93.0
2026-02-12,sample,7.02,72.0,1.48,1.83,45.0,94.0
2026-02-13,sample,8.36,70.0,0.78,1.84,44.0,90.0
2026-02-14,sample,7.86,68.0,1.35,1.11,57.0,94.0
2026-02-15,sample,6.62,71.0,1.18,0.93,18.0,78.0
2026-02-16,sample,7.41,77.0,1.85,1.9,49.0,85.0
2026-02-17,sample,6.96,81.0,1.25,1.96,61.0,83.0
2026-02-18,sample,7.03,78.0,1.8,1.29,34.0,88.0
2026-02-19,sample,7.31,72.0,0.97,1.04,41.0,84.0
2026-02-20,sample,7.57,85.0,1.48,1.63,37.0,86.0
2026-02-21,sample,7.0,84.0,1.4,1.88,36.0,96.0
2026-02-22,sample,7.84,77.0,1.04,2.14,42.0,86.0
2026-02-23,sample,6.51,73.0,1.35,1.75,59.0,89.0
2026-02-24,sample,7.2,82.0,1.66,1.49,63.0,86.0
2026-02-25,sample,8.76,80.0,1.2,1.33,42.0,87.0
2026-02-26,sample,7.33,66.0,0.79,1.6,64.0,87.0
2026-02-27,sample,8.06,77.0,1.29,1.51,45.0,89.0
2026-02-28,sample,7.25,80.0,1.03,1.3,63.0,93.0
2026-03-01,sample,7.55,71.0,1.2,2.21,44.0,95.0
2026-03-02,sample,7.17,80.0,1.28,2.14,46.0,89.0
2026-03-03,sample,7.1,66.0,0.79,1.94,49.0,90.0
